date,home_team,away_team,team,scorer,minute,own_goal,penalty
2020-09-03,Bulgaria,Republic of Ireland,Bulgaria,Bozhidar Kraev,56,FALSE,FALSE
2020-09-03,Bulgaria,Republic of Ireland,Republic of Ireland,Shane Duffy,90,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Faroe Islands,Klæmint Olsen,25,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Malta,Jurgen Degabriele,37,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Malta,Andrei Agius,73,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Faroe Islands,Andreas Olsen,87,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Faroe Islands,Brandur Hendriksson,90,FALSE,FALSE
2020-09-03,Finland,Wales,Wales,Kieffer Moore,80,FALSE,FALSE
2020-09-03,Germany,Spain,Germany,Timo Werner,51,FALSE,FALSE
2020-09-03,Germany,Spain,Spain,José Gayà,90,FALSE,FALSE
2020-09-03,Moldova,Kosovo,Moldova,Ion Nicolaescu,20,FALSE,FALSE
2020-09-03,Moldova,Kosovo,Kosovo,Benjamin Kololli,71,FALSE,FALSE
2020-09-03,Russia,Serbia,Russia,Artem Dzyuba,48,FALSE,TRUE
2020-09-03,Russia,Serbia,Russia,Vyacheslav Karavayev,69,FALSE,FALSE
2020-09-03,Russia,Serbia,Serbia,Aleksandar Mitrović,78,FALSE,FALSE
2020-09-03,Russia,Serbia,Russia,Artem Dzyuba,81,FALSE,FALSE
2020-09-03,Turkey,Hungary,Hungary,Dominik Szoboszlai,80,FALSE,FALSE
2020-09-03,Ukraine,Switzerland,Ukraine,Andriy Yarmolenko,14,FALSE,FALSE
2020-09-03,Ukraine,Switzerland,Switzerland,Haris Seferovic,41,FALSE,FALSE
2020-09-03,Ukraine,Switzerland,Ukraine,Oleksandr Zinchenko,68,FALSE,FALSE
2020-09-04,Belarus,Albania,Albania,Sokol Çikalleshi,23,FALSE,FALSE
2020-09-04,Belarus,Albania,Albania,Keidi Bare,78,FALSE,FALSE
2020-09-04,Italy,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,57,FALSE,FALSE
2020-09-04,Italy,Bosnia and Herzegovina,Italy,Stefano Sensi,67,FALSE,FALSE
2020-09-04,Lithuania,Kazakhstan,Kazakhstan,Bakhtiyar Zaynutdinov,3,FALSE,FALSE
2020-09-04,Lithuania,Kazakhstan,Kazakhstan,Islambek Kuat,86,FALSE,FALSE
2020-09-04,Netherlands,Poland,Netherlands,Steven Bergwijn,61,FALSE,FALSE
2020-09-04,Norway,Austria,Austria,Michael Gregoritsch,35,FALSE,FALSE
2020-09-04,Norway,Austria,Austria,Marcel Sabitzer,54,FALSE,TRUE
2020-09-04,Norway,Austria,Norway,Erling Haaland,66,FALSE,FALSE
2020-09-04,Romania,Northern Ireland,Romania,George Pușcaș,25,FALSE,FALSE
2020-09-04,Romania,Northern Ireland,Northern Ireland,Gavin Whyte,86,FALSE,FALSE
2020-09-04,Scotland,Israel,Scotland,Ryan Christie,45,FALSE,TRUE
2020-09-04,Scotland,Israel,Israel,Eran Zahavi,73,FALSE,FALSE
2020-09-04,Slovakia,Czech Republic,Czech Republic,Vladimír Coufal,48,FALSE,FALSE
2020-09-04,Slovakia,Czech Republic,Czech Republic,Bořek Dočkal,53,FALSE,TRUE
2020-09-04,Slovakia,Czech Republic,Czech Republic,Michael Krmenčík,86,FALSE,FALSE
2020-09-04,Slovakia,Czech Republic,Slovakia,Ivan Schranz,88,FALSE,FALSE
2020-09-05,Azerbaijan,Luxembourg,Azerbaijan,Ramil Sheydayev,43,FALSE,FALSE
2020-09-05,Azerbaijan,Luxembourg,Luxembourg,Anton Kryvotsyuk,48,TRUE,FALSE
2020-09-05,Azerbaijan,Luxembourg,Luxembourg,Gerson Rodrigues,72,FALSE,TRUE
2020-09-05,Cyprus,Montenegro,Montenegro,Stevan Jovetić,60,FALSE,FALSE
2020-09-05,Cyprus,Montenegro,Montenegro,Stevan Jovetić,73,FALSE,FALSE
2020-09-05,Denmark,Belgium,Belgium,Jason Denayer,9,FALSE,FALSE
2020-09-05,Denmark,Belgium,Belgium,Dries Mertens,76,FALSE,FALSE
2020-09-05,Estonia,Georgia,Georgia,Nika Kacharava,32,FALSE,FALSE
2020-09-05,Gibraltar,San Marino,Gibraltar,Graeme Torrilla,42,FALSE,FALSE
2020-09-05,Iceland,England,England,Raheem Sterling,90,FALSE,TRUE
2020-09-05,North Macedonia,Armenia,North Macedonia,Ezgjan Alioski,5,FALSE,TRUE
2020-09-05,North Macedonia,Armenia,North Macedonia,Ilija Nestorovski,38,FALSE,TRUE
2020-09-05,North Macedonia,Armenia,Armenia,Tigran Barseghyan,90,FALSE,TRUE
2020-09-05,Portugal,Croatia,Portugal,João Cancelo,41,FALSE,FALSE
2020-09-05,Portugal,Croatia,Portugal,Diogo Jota,58,FALSE,FALSE
2020-09-05,Portugal,Croatia,Portugal,João Félix,70,FALSE,FALSE
